"filename", "language", "Markdown", "JSON", "HTML", "PHP", "JavaScript", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\README.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\generate-products.js", "JavaScript", 0, 0, 0, 0, 57, 0, 0, 2, 18, 77
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\package-lock.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\package.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\product-template.html", "HTML", 0, 0, 57, 0, 0, 0, 0, 0, 7, 64
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\about.html", "HTML", 0, 0, 176, 0, 0, 0, 0, 0, 20, 196
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\admin\api\cases_handler.php", "PHP", 0, 0, 0, 84, 0, 0, 0, 4, 14, 102
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\admin\api\jobs_handler.php", "PHP", 0, 0, 0, 65, 0, 0, 0, 7, 12, 84
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\admin\api\products_handler.php", "PHP", 0, 0, 0, 123, 0, 0, 0, 6, 22, 151
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\admin\api\upload_handler.php", "PHP", 0, 0, 0, 53, 0, 0, 0, 11, 13, 77
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\admin\auth.php", "PHP", 0, 0, 0, 38, 0, 0, 0, 2, 6, 46
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\admin\dashboard.php", "PHP", 0, 0, 0, 91, 0, 0, 0, 7, 15, 113
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\admin\edit_case.php", "PHP", 0, 0, 0, 82, 0, 0, 0, 0, 8, 90
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\admin\edit_job.php", "PHP", 0, 0, 0, 111, 0, 0, 0, 8, 14, 133
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\admin\edit_product.php", "PHP", 0, 0, 0, 210, 0, 0, 0, 9, 28, 247
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\admin\includes\admin_header.php", "PHP", 0, 0, 0, 30, 0, 0, 0, 1, 0, 31
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\admin\includes\db_config.php", "PHP", 0, 0, 0, 15, 0, 0, 0, 12, 5, 32
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\admin\login.php", "PHP", 0, 0, 0, 60, 0, 0, 0, 3, 7, 70
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\admin\logout.php", "PHP", 0, 0, 0, 7, 0, 0, 0, 1, 0, 8
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\admin\manage_cases.php", "PHP", 0, 0, 0, 87, 0, 0, 0, 1, 3, 91
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\admin\manage_jobs.php", "PHP", 0, 0, 0, 100, 0, 0, 0, 5, 8, 113
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\admin\manage_products.php", "PHP", 0, 0, 0, 123, 0, 0, 0, 7, 10, 140
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\api.php", "PHP", 0, 0, 0, 33, 0, 0, 0, 11, 13, 57
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\assets\css\base\_reset.css", "PostCSS", 0, 0, 0, 0, 0, 0, 15, 0, 0, 15
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\assets\css\base\_typography.css", "PostCSS", 0, 0, 0, 0, 0, 0, 28, 0, 0, 28
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\assets\css\base\_variables.css", "PostCSS", 0, 0, 0, 0, 0, 0, 13, 0, 0, 13
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\assets\css\components\_buttons.css", "PostCSS", 0, 0, 0, 0, 0, 0, 28, 0, 0, 28
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\assets\css\components\_cards.css", "PostCSS", 0, 0, 0, 0, 0, 0, 62, 3, 2, 67
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\assets\css\components\_header-footer.css", "PostCSS", 0, 0, 0, 0, 0, 0, 204, 6, 9, 219
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\assets\css\layout\_grid.css", "PostCSS", 0, 0, 0, 0, 0, 0, 14, 0, 0, 14
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\assets\css\layout\_responsive.css", "PostCSS", 0, 0, 0, 0, 0, 0, 74, 7, 12, 93
